0.3125,0.21,0.1725,0.16,0.1475,0.1375,0.12,0.105,0.085,0.065
0.395,0.2875,0.1775,0.1475,0.145,0.1375,0.1125,0.115,0.1075,0.1025
0.5625,0.38,0.3225,0.3025,0.27,0.24,0.2175,0.215,0.2,0.19
0.76,0.575,0.515,0.4425,0.3975,0.3625,0.3525,0.3475,0.3275,0.29
0.7925,0.6125,0.5425,0.525,0.4675,0.4625,0.4275,0.4175,0.42,0.41
0.9275,0.84,0.765,0.715,0.6675,0.655,0.6225,0.59,0.5675,0.56
